NBA Career Score,Name,Age,Height,Weight,NBA Connection,Seasons Played (College),G,GS%,MPG,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,BPM,FG/100,FGA/100,3P/100,3PA/100,FT/100,FTA/100,ORB/100,DRB/100,TRB/100,AST/100,STL/100,BLK/100,TOV/100,PF/100,PTS/100,ORtg,DRtg
3.5,Derrick White,22.98,196,87,0,1,34,94.12,32.8,27.3,0.627,3.5,10.5,7,28.6,2.2,4.9,14.2,25.3,0.211,12.4,10.7,21,3,7.5,7.7,9.5,1.8,5.4,7.2,7.7,2.2,2.5,4.2,3.7,32,124.9,104
3,Josh Hart,22.31,196,92,0,4,36,97.22,33.1,28.2,0.619,5.8,17.6,12.2,18.8,2.9,1,11.5,27.8,0.257,12,12.1,23.7,3.8,9.3,6.5,8.7,2.6,9.1,11.7,5.4,2.9,0.5,3.6,4.1,34.4,125.1,94.5
2,Frank Jackson,19.14,190,92,0,1,36,44.44,24.9,17,0.598,3.1,8.3,5.8,12.6,1.3,0.2,12.9,21.1,0.147,5.1,8.5,18,3.3,8.3,4.9,6.5,1.5,4.3,5.8,3.9,1.3,0.1,3.1,5.4,25.2,119,106.4
1.5,Davon Reed,22.04,198,94,0,4,33,100,35.3,19.7,0.58,2.9,13.1,8.1,14.3,2.3,1.5,13.7,22.2,0.163,8.2,8.5,19.7,4.2,10.6,4.8,5.7,1.5,6.9,8.4,4.2,2.3,0.8,3.6,2.8,26.1,115.9,100.3
1.5,Wes Iwundu,22.51,201,92,0,4,35,100,31.4,20.1,0.585,4.1,20,12.3,22.9,1.9,1.2,17.2,22.3,0.16,7.5,8.1,16.9,1.7,4.6,6.6,8.6,1.9,10,11.9,6.5,1.9,0.6,4.4,3.4,24.6,113.5,100
1.5,Frank Mason III,23.23,180,83,0,4,36,100,36.1,25.5,0.622,2,10.5,6.4,26.1,2,0.2,12.4,25.6,0.23,11.3,10.4,21.2,3.5,7.5,8.1,10.3,0.9,5.5,6.5,8.1,2,0.1,3.7,3.1,32.4,128.6,103.5
1.5,Ivan Rabb,20.39,211,99,0,2,31,96.77,32.6,21.7,0.541,10.7,25.7,18.3,10.9,1.3,3.3,14.3,23.8,0.18,6.4,9,18.6,0.5,1.2,7.4,11.1,5.6,13.7,19.3,2.9,1.3,1.8,4,5.7,25.9,109.9,91.6
0,Jonah Bolden,21.48,208,97,0,1,31,35.48,21.7,12.4,0.499,5.8,17.5,11.8,7.8,1.7,4.2,15.3,12.1,0.086,3.7,4.2,10.2,0.7,3,2.7,3.7,3,9.5,12.5,2.7,1.7,2.2,2.2,5.3,12,105.9,103.7
2,Semi Ojeleye,22.55,203,104,0,4,35,100,34.1,26.5,0.621,8.4,15,11.9,9.3,0.8,1.6,8.5,25.9,0.257,9.3,11,22.6,3.8,9,9,11.5,4.2,8.4,12.6,2.8,0.8,0.7,2.6,3.3,34.9,131.8,98
2,Jordan Bell,22.46,201,86,0,3,39,97.44,28.8,26.4,0.658,12.2,22.4,17.6,11.4,2.5,8.5,18.8,18,0.222,10.8,8.8,13.9,0.2,0.7,4.2,6,5.8,11.9,17.7,3.6,2.5,4.5,3.9,3.5,22.1,123.8,89.1
1.5,Jawun Evans,20.91,183,79,0,2,32,100,29.3,27.3,0.535,2.8,11,6.8,43.6,3.3,0.5,13.6,32.7,0.206,9.2,12.4,28.3,2.1,5.6,9.1,11.2,1.4,5.1,6.5,12,3.3,0.2,5.3,4.3,36,118.8,108.3
1.5,Dwayne Bacon,21.82,201,95,0,2,35,100,28.8,20.8,0.544,4,12,8.1,11.6,1.9,0.4,11.4,29.4,0.151,5.5,12.1,26.7,3.1,9.3,5.7,7.5,1.9,6.1,8,3.3,1.9,0.2,3.9,3,33,110.4,103.4
1.5,Tyler Dorsey,21.35,193,81,0,2,39,100,30,19.6,0.606,3.5,9.6,6.7,10.7,1.5,0.4,11.1,22.9,0.178,6.8,9.4,20.1,4.4,10.3,5.2,6.9,1.6,5.1,6.7,3.3,1.5,0.2,2.9,2.8,28.4,120.9,101.6
2.5,Thomas Bryant,19.9,208,111,0,2,34,100,28.1,21.6,0.601,9.7,17.2,13.7,9.8,1.6,5.7,18,22.2,0.159,6.2,8.9,17.2,1.4,3.6,6.5,8.9,4.6,9,13.6,3,1.6,3.1,4.7,6.3,25.8,115.4,101.9
2,Damyean Dotson,23.14,196,94,0,5,32,100,34.3,23.9,0.611,5.1,18.1,11.5,6.9,1.6,0.6,6.8,23.1,0.216,9.4,11.2,23.8,6,13.5,2.4,2.9,2.7,9.6,12.3,2,1.6,0.3,1.8,2.9,30.8,127,98.3
3,Dillon Brooks,21.42,196,92,0,3,35,77.14,25.3,25.5,0.585,4.8,9.7,7.4,23.1,2.5,2,13,31.6,0.213,9.1,13.5,27.7,3.7,9.3,6.2,8.3,2.3,5.1,7.4,6.2,2.5,1,4.7,6.4,37,116.2,98.2
2,Sterling Brown,22.37,198,90,1,4,35,97.14,32.7,21.7,0.583,6,16.9,11.7,17.9,2.7,2.2,14.6,21.9,0.211,8.9,8.8,19.3,3.4,7.5,4.8,6,3,9.4,12.5,5.8,2.7,1,3.8,5,25.8,119.6,92.1
0,Ike Anigbogu,18.69,208,113,0,1,29,0,13,17.1,0.564,13.2,19.9,16.9,2.3,0.7,8.8,16.5,18.4,0.133,0.9,8.1,14.4,0,0,3.3,6.1,5.9,10.9,16.7,0.9,0.7,5,3.4,10.3,19.6,109,98.4
1.5,Sindarius Thornwell,22.61,196,97,0,4,31,100,33.9,30.3,0.59,8,16.3,11.9,19.1,3.6,3.4,11.9,29.5,0.273,17.1,10.6,23.9,3.2,8.1,11.7,14.1,4.2,7.8,12,4.7,3.6,1.6,4.1,3.9,36.1,122.2,89
3,Monte Morris,22,188,77,0,4,35,100,35.3,24.7,0.555,3.7,11.3,7.6,32,2.4,0.8,7.5,22.8,0.21,10.5,9.9,21.3,2.5,6.6,4.1,5.1,1.8,5.9,7.7,9.9,2.4,0.5,1.9,2.3,26.3,126.1,103
1.5,Edmond Sumner,21.48,196,77,0,3,21,95.24,33.1,21.1,0.57,1.8,13.7,7.6,30.2,2.3,2.7,17.4,24,0.154,8.8,8.5,17.7,1,3.7,8.4,11.4,0.9,6.7,7.7,8.8,2.3,1.3,4.9,4.3,26.4,113.8,104.1
1,Kadeem Allen,24.44,190,81,0,2,34,97.06,30,16.7,0.57,1.5,13.8,8.1,17.8,3.1,2.3,18.3,18.1,0.148,7.4,6.2,13.8,1.9,4.4,5,6.8,0.7,7.3,8,5.9,3.1,1.2,3.8,4.8,19.4,111.3,96.3
1,Alec Peters,22.2,206,102,0,4,29,100,35.1,28.7,0.594,8.5,23.3,16.2,14.8,1.3,1.2,11.2,30.8,0.241,7.9,12.2,26.3,3.3,9,9.6,10.9,4.2,12.3,16.4,3.6,1.3,0.6,4,3.6,37.4,121,97.2
0,Nigel Williams-Goss,22.77,190,83,0,4,38,100,32.8,25.2,0.594,2.2,15.7,9.8,25.6,2.9,0.2,13.1,24.6,0.261,10.8,9.9,20.5,1.9,5.3,7.1,8.2,1,9.3,10.3,8.1,2.9,0.1,3.7,2.7,28.9,122.2,86.4
0,Jabari Bird,22.98,198,89,1,4,27,92.59,32,16.5,0.562,3.5,13.2,8.4,7.7,1.3,0.8,12.7,23.5,0.142,6.2,9.8,22.2,4.5,12.4,2.9,3.8,1.8,7.1,8.9,2,1.3,0.4,3.5,3.6,27.1,108.4,98.1
0,Jaron Blossomgame,23.77,201,97,0,4,33,100,34.3,23.1,0.561,5.9,15.5,10.6,9.7,1.4,2.9,9.7,25.9,0.152,6.2,11.5,23,1.3,4.9,6.3,8.8,3.1,7.7,10.8,2.7,1.4,1.6,2.9,2.8,30.4,115.7,107.1
3.5,Deandre Ayton,19.92,216,113,0,1,35,100,33.5,32.6,0.65,13.5,28.2,21.4,10.2,1,6.1,11.3,26.6,0.259,11,13.7,22.4,0.6,1.7,7,9.5,5.9,14.3,20.1,2.8,1,3.3,3.4,4,35,130.3,98.8
2.5,Marvin Bagley III,19.28,211,106,1,1,33,96.97,33.9,30.6,0.643,13.8,21.5,17.9,8.8,1.4,2.6,12.2,26.3,0.248,10.8,13.7,22.3,1.2,2.9,6.7,10.6,6.7,11.9,18.6,2.5,1.4,1.5,3.8,3,35.3,127.7,97.4
4.25,Jaren Jackson Jr.,18.78,211,109,1,1,35,97.14,21.8,26.9,0.647,8.8,19.7,15,9.3,1.6,14.3,17.4,23.5,0.239,11.7,9.1,17.8,2.9,7.4,8.1,10.2,4,11.6,15.6,3,1.6,8.1,4.8,8.6,29.3,120.6,86.4
4.5,Trae Young,19.76,188,81,0,1,32,100,35.4,28.3,0.585,1.3,10,5.8,48.6,2.5,0.7,18.2,37.1,0.201,11.1,12,28.5,5.4,15.1,10.9,12.6,0.6,5.1,5.8,12.9,2.5,0.4,7.7,2.6,40.4,114.7,108.1
2,Mo Bamba,20.12,211,102,0,1,30,96.67,30.2,28.3,0.593,12.2,28.2,20.2,3.6,1.5,13.1,12.3,21.3,0.212,10.9,9.6,17.8,0.9,3.4,5.3,7.8,6.3,14.5,20.8,1,1.5,7.3,3,5,25.5,118.5,89.6
3.5,Wendell Carter Jr.,19.19,208,117,0,1,37,100,26.9,28.2,0.628,12.8,23.2,18.4,13,1.7,7.6,15.8,22.8,0.239,11.4,10.2,18.2,1.1,2.6,7.1,9.6,6.2,12.9,19.1,4.2,1.7,4.3,4.3,6,28.5,125.3,92.8
3,Collin Sexton,19.47,190,86,0,1,33,96.97,29.9,23.5,0.567,4.1,9.8,7,27.8,1.6,0.3,14.2,32.9,0.177,6.9,11.3,25.3,2.5,7.6,11.3,14.5,2,5.2,7.2,6.9,1.6,0.2,5.3,4.7,36.5,113.2,105.2
1,Kevin Knox,18.87,206,97,0,1,37,100,32.4,17,0.556,3.3,14.5,9.3,8.7,1.5,1,14.1,24.6,0.133,5.1,9.4,21,2.7,8,6.1,7.8,1.6,8,9.6,2.5,1.5,0.5,4.1,3.9,27.6,109.3,102.8
4,Mikal Bridges,21.82,201,86,0,3,40,100,32.1,26.8,0.655,5.2,13.8,9.7,10.6,2.7,3.5,9.1,23.2,0.241,12.9,10.8,21.1,4.6,10.6,5.1,5.9,2.4,7,9.4,3.4,2.7,1.9,2.4,3.8,31.3,132.5,98.2
5,Shai Gilgeous-Alexander,19.95,198,81,1,1,37,64.86,33.7,21.2,0.578,3.2,10,6.8,28.8,2.8,1.7,17.9,21.9,0.167,9,8.4,17.3,1.1,2.6,6.6,8,1.5,5.5,7,8.7,2.8,0.8,4.6,2.8,24.4,116.5,101.8
3.5,Miles Bridges,20.26,201,104,0,2,34,97.06,31.4,22.6,0.572,5.2,18.2,12.5,16.9,1.2,2.5,11.6,27.1,0.208,8.7,11.5,25.1,3.9,10.7,5.1,6,2.4,10.7,13,5.1,1.2,1.4,3.7,2.9,32,118.2,95.5
1,Jerome Robinson,21.34,201,82,0,3,35,100,36,21.3,0.608,1.5,9.7,5.6,19.5,1.4,0.4,13.9,27.3,0.157,5.5,11.3,23.2,3.7,9,6.6,8,0.8,4.9,5.7,5.3,1.4,0.2,4.3,4,32.8,117,109.3
3.5,Michael Porter Jr.,19.99,208,97,1,1,3,33.33,17.7,20,0.438,9.4,32.5,21.8,4.6,3.4,2,8,36.5,0.128,8.6,11.2,33.6,3.4,11.2,7.8,10.1,4.5,17.9,22.4,1.1,3.4,1.1,3.4,6.7,33.6,95.2,89.4
2,Troy Brown Jr.,18.91,201,97,0,1,35,100,31.2,16.6,0.532,5.9,18,12,18.7,2.9,0.8,18.8,21,0.114,3.7,7.5,16.9,1.7,5.8,4.1,5.5,2.8,8.6,11.4,5.8,2.9,0.4,4.5,4.1,20.8,105.7,102.4
0,Zhaire Smith,19.06,196,88,0,1,37,56.76,28.4,23,0.618,9.6,11.1,10.4,12.6,2.3,4.8,10.8,18.3,0.212,10.8,8.6,15.4,1,2.2,5.1,7.1,4.6,5.7,10.3,3.7,2.3,2.3,2.3,3.7,23.2,128.7,95.1
3,Donte DiVincenzo,21.4,196,90,0,3,40,25,29.3,20.9,0.608,4.9,13.9,9.6,20,2,0.7,15.2,22.4,0.188,9,9.2,19,4.1,10.3,3.7,5.2,2.2,7,9.3,6.8,2,0.4,3.8,4,26.2,121.3,101.3
2.5,Lonnie Walker IV,19.53,193,87,0,1,32,56.25,27.8,16.3,0.527,1.7,9.2,5.5,13,2,1.8,9.6,22.4,0.127,5.2,8.8,21.1,3.7,10.8,3.2,4.3,0.9,4.6,5.5,4.1,2,1,2.5,3.4,24.4,109.4,102.9
3,Kevin Huerter,19.83,201,86,0,2,32,100,34.4,19.4,0.64,3.7,12.9,8.8,20.3,1.1,2.1,17.8,21.5,0.165,7.8,8.8,17.6,4,9.6,4.1,5.4,1.7,7.1,8.8,5.9,1.1,1.1,4.4,4.1,25.8,119,102.9
2.5,Josh Okogie,19.81,193,93,0,2,24,100,36.4,22.3,0.55,7.3,13.1,10.2,15.6,2.9,2.8,13.3,27.3,0.156,8.1,9.2,22,2.6,6.9,9.2,11.2,3.7,6.6,10.3,4.1,2.9,1.6,4.2,4.8,30.1,111.3,102
3,Grayson Allen,22.71,193,88,0,4,37,100,35.6,18.8,0.58,1.8,8,5.1,21.2,2.8,0.2,13.8,20.7,0.179,8.4,7.8,18.6,4.4,11.9,4.6,5.5,0.9,4.4,5.3,7.4,2.8,0.1,3.4,3.4,24.6,123.3,102.1
1.5,Chandler Hutchison,22.16,201,86,0,4,31,100,31,25.9,0.575,3.4,25.6,14.6,24.1,2.7,0.9,16.2,33.2,0.208,8.9,12.1,25.4,2.7,7.5,9.6,13.2,1.6,12.4,14,6.3,2.7,0.5,6.1,4.4,36.4,110.8,93.3
2,Aaron Holiday,21.73,185,83,1,3,33,100,37.7,21.1,0.609,1.6,8.7,5.3,29.9,1.9,0.7,18.5,26.7,0.157,5.9,9.5,20.7,4,9.2,7.2,8.6,0.8,4.7,5.4,8.6,1.9,0.4,5.6,3.9,30.2,115.4,108.1
2.5,Moritz Wagner,21.16,208,95,1,3,39,100,27.6,24.7,0.619,6.5,24.7,15.7,6.7,2.1,2,10.8,25.9,0.213,9.2,12.2,23,3.5,9,4.2,6.1,3.2,12.5,15.7,1.9,2.1,1.1,3.2,6.8,32.1,117.3,92.3
2.5,Landry Shamet,21.28,193,81,0,3,32,100,31.7,21.4,0.655,1.6,9.7,5.8,28.8,1.3,0.7,15.5,20.7,0.195,8.6,8.7,17.7,4.7,10.7,4.8,5.8,0.8,5,5.8,9.3,1.3,0.3,3.8,3.4,26.8,130.1,106.2
3,Robert Williams,20.69,206,107,0,2,30,76.67,25.6,25.5,0.614,10.2,26.8,18.9,10.8,1.8,10.4,17,19,0.184,10.6,10.2,16.1,0,0.9,2.4,5.1,5.2,15.1,20.3,3.2,1.8,5.7,3.8,4.8,22.8,113.8,90.2
0,Jacob Evans,21.02,198,95,0,3,36,100,30.8,20.5,0.543,5.2,12,8.7,20,2.6,3.7,12.7,22.5,0.213,9.9,8.8,20.6,3.3,8.8,4.7,6.2,2.7,6.6,9.3,6.2,2.6,1.9,3.4,3.9,25.6,116.5,88.3
1,Omari Spellman,20.93,206,117,0,1,40,97.5,28.1,20.6,0.588,9.9,23.1,16.8,4.3,1.3,5.5,9.8,18.3,0.184,7.5,8.1,17,3.3,7.6,2.5,3.5,4.6,11.7,16.3,1.5,1.3,3,2,4.7,22,122.8,96.7
2.5,Jevon Carter,22.78,188,83,0,4,37,100,35.5,24.9,0.549,2.4,13.1,7.5,36.2,4.9,1.2,14.4,25,0.214,12,9.5,22.5,3.4,8.7,5.9,6.8,1.3,6.3,7.6,10.9,4.9,0.6,4.3,4.9,28.2,119.3,94.9
4.5,Jalen Brunson,21.82,190,90,1,3,40,100,31.8,26.1,0.635,1.2,9.7,5.6,26.6,1.7,0.1,10.7,26.4,0.241,10.2,12.1,23.2,3.9,9.5,5.8,7.3,0.5,4.9,5.5,8.2,1.7,0,3.2,3.5,33.9,130.7,104.1
2,Devonte' Graham,23.34,188,79,0,4,39,100,37.8,21.2,0.568,2,9.6,6,31.4,2.4,0.1,15.5,23.9,0.182,8.6,7.7,19.2,4.2,10.5,6.4,7.8,0.9,5.1,6.1,10.9,2.4,0.1,4.2,2.2,26,120.2,105.1
0,Melvin Frazier,21.82,196,90,0,3,30,100,34.4,22.4,0.631,3.9,14.6,9.3,17.9,3.6,2.2,16.9,22.2,0.152,6.9,10,17.9,1.9,5.1,4.7,6.6,1.9,7.4,9.3,4.8,3.6,1.2,4.3,3.3,26.5,114.2,101.8
3,Gary Trent Jr.,19.43,198,94,1,1,37,100,33.9,16.7,0.567,2.9,10.3,6.8,6.8,1.9,0.4,7.4,19.5,0.163,7,8,19.3,4.4,10.9,3.9,4.4,1.4,5.7,7.1,2.4,1.9,0.2,1.7,2.8,24.3,124.4,102.7
0,Khyri Thomas,22.13,190,90,0,3,33,100,31.7,21.8,0.65,4,11,7.7,15.1,2.9,0.8,13.4,21,0.183,8.6,9.7,17.9,3.3,7.9,3.5,4.5,1.8,5.7,7.6,4.8,2.9,0.4,3.1,3.3,26.1,122.4,100.9
3,Jarred Vanderbilt,19.23,206,97,0,1,14,0,17,21.6,0.476,23.1,27.9,25.7,10.7,1.4,5.3,14.8,20.8,0.172,6.4,7,16.4,0,0.2,5.8,9.1,11.1,15.4,26.5,3.4,1.4,2.6,3.6,8.9,19.7,111,93.7
3,Bruce Brown,21.86,196,86,0,2,19,100,33.7,16.9,0.488,4.6,20,12.4,21.3,2.3,2.5,16.3,21.2,0.121,5.1,7.2,17.3,1.5,5.5,4.1,6.4,2.3,10.1,12.4,7,2.3,1.4,4,4,19.9,102.7,97.5
1.5,Justin Jackson,21.35,201,102,0,2,11,90.91,29.2,14.2,0.47,11.2,21.1,16.6,12.7,1.7,3,21.8,24.1,0.083,1.9,6.9,18.9,1.9,7.5,4.5,5.4,5.1,11.6,16.7,3.9,1.7,1.7,6,2.8,20.2,93.1,97.3
2.5,Hamidou Diallo,19.9,196,86,0,1,37,100,24.8,13.8,0.498,4.2,11.5,8.1,9.5,1.7,1.6,12,22.6,0.103,2.9,8.4,19.5,1.6,4.8,4.8,7.8,2.1,6.4,8.4,2.9,1.7,0.8,3.2,6,23.2,103.8,103.1
3,De'Anthony Melton,20.08,193,86,0,1,36,69.44,27,19.2,0.53,5.9,13.6,9.9,22.5,4,3.9,18.5,17.7,0.133,7.2,5.9,13.6,1.2,4.3,4.5,6.4,2.9,7,10,7.3,4,2.2,3.8,4.8,17.6,110.8,100.6
2,Svi Mykhailiuk,21.04,203,88,0,4,39,100,34.5,16.9,0.572,4,8.6,6.4,13.4,1.9,0.9,11.5,21,0.137,6.6,8.7,19.9,4.9,10.9,1.9,2.4,1.9,4.6,6.5,4.5,1.9,0.5,2.7,4.1,24.1,115.9,106
2,Keita Bates-Diop,22.42,201,86,0,4,34,100,33.1,27.5,0.577,5.7,24.5,15.6,10.5,1.6,5.9,9.6,29.4,0.216,11.1,12.9,26.9,3.5,9.6,5.9,7.4,2.7,12.8,15.5,2.9,1.6,2.9,3.2,3,35.1,116.8,94.6
2,Chimezie Metu,21.26,211,97,0,3,34,97.06,31,23.5,0.574,7.2,21.1,14.2,10,1.5,6.3,12.8,25.8,0.167,5.6,11.3,21.7,0.7,2.2,6.1,8.4,3.5,10.5,14,2.9,1.5,3.3,3.8,4.8,29.5,113,99.8
0,Tony Carr,20.7,196,92,0,2,37,100,35.4,22.2,0.527,3,13.4,8.2,29.3,1.4,0.9,11,29.9,0.182,8.2,11,27,4,9.1,6.6,8.3,1.5,6.8,8.2,8.4,1.4,0.5,3.8,3.1,32.6,114.2,102.3
0,Vince Edwards,22.22,201,99,1,4,35,100,31.6,21.8,0.587,8.4,18.6,13.9,17.1,1,2,14,23.8,0.197,8.1,9.6,20.1,2.7,6.8,5.3,6.4,3.8,10,13.7,5.4,1,1.1,3.8,3.3,27.1,118.8,97.9
1,Devon Hall,22.97,196,95,0,4,34,100,32.1,20.3,0.599,1.4,14.9,8.3,19.6,1.8,0.6,9.6,19.5,0.215,10.1,8,17.6,3.5,8,4.6,5.1,0.7,7.9,8.7,6.5,1.8,0.3,2.1,2.9,24,124.8,92.4
2.5,Shake Milton,21.74,196,88,0,3,22,100,36.4,24.2,0.606,2.1,13.5,7.7,25.9,2.4,2.3,13.3,25,0.208,8.7,9.5,21.3,4.3,10,7.3,8.6,1.1,6.9,8,7.4,2.4,1.1,3.9,2.9,30.7,122.8,100.4
0,Ray Spalding,21.29,208,95,0,3,36,94.44,27.6,25.6,0.568,13.2,20.9,17.3,9.6,3.1,6.3,13.5,22.9,0.193,8.2,10.5,19.4,0.3,1.1,4.2,6.6,6.5,11.5,18,2.6,3.1,3.6,3.5,6.2,25.6,114.4,92.8
0,Kevin Hervey,21.96,201,95,0,4,33,75.76,32.2,23.7,0.553,8,19.9,14.2,15.2,2.1,2.2,12.8,31,0.174,5.5,12.3,27.7,3.9,11.5,5.7,7.1,3.9,10.4,14.3,3.7,2.1,1,4.6,3,34.3,109.3,97.5
0,Thomas Welsh,22.39,213,111,0,4,33,100,33.2,20.3,0.577,9.1,25.8,17.8,7.8,1.1,2.8,8.6,17.7,0.162,5.8,8.3,17.1,2.3,5.7,2.5,3,4.4,13.8,18.3,2.3,1.1,1.5,1.7,4,21.3,122.6,101.6
0,George King,24.44,198,99,0,5,32,96.88,28.5,18.8,0.574,7.2,23.3,15.5,8.2,1.1,2.6,15.1,23.3,0.132,4.7,8.9,20.1,3.9,9.9,4.3,5.5,3.5,12.3,15.8,2.2,1.1,1.3,4,4.9,26.1,109.3,102.3
0,Kostas Antetokounmpo,20.59,208,86,1,1,29,20.69,15.1,13.7,0.575,7.3,16.9,12.3,5.9,1,8.3,22.9,20.9,0.062,-2.1,7.9,13.8,0.3,2,4.5,8.7,3.3,8,11.3,1.8,1,4.2,5.3,9,20.6,95.9,105.6
4,Zion Williamson,18.97,201,129,0,1,33,100,30,40.8,0.702,12.7,18,15.5,14.9,3.9,5.8,12.8,28.6,0.335,20.1,16.3,24,1.3,3.9,7.2,11.2,6.4,9.8,16.2,3.8,3.9,3.3,4.3,3.8,41.2,133.1,87.4
4.25,Ja Morant,19.87,190,79,0,2,33,100,36.6,31.6,0.612,3.9,12.7,8.6,51.8,2.7,2.3,20.5,33.3,0.273,10,12.2,24.5,2.6,7.2,10.2,12.5,1.8,6.8,8.7,15.3,2.7,1.2,7.8,2.2,37.3,119.3,95.8
3.25,RJ Barrett,19.03,201,91,0,1,38,100,35.3,23.3,0.532,4.8,17.2,11.2,23.5,1.4,1.2,13.2,32.2,0.194,8.6,13,28.6,3,9.7,6.1,9.1,2.4,9.3,11.7,6.7,1.4,0.7,5,2.9,35,110.1,95.9
3,De'Andre Hunter,21.56,201,102,0,2,38,100,32.5,24.3,0.618,5.6,13.4,9.8,13,1.2,2.4,10,24.1,0.237,10.8,10.9,21,2.5,5.6,6.6,8.4,2.8,7.5,10.3,4,1.2,1.2,2.8,4.1,30.9,125.8,94.9
4,Darius Garland,19.41,188,79,1,1,5,100,27.8,23.6,0.657,1.6,13.7,7.7,25.7,1.7,1.5,19.6,27.9,0.148,4.9,12.1,22.6,4.6,9.6,5,6.7,0.8,7.1,7.9,5.4,1.7,0.8,6.3,2.9,33.8,112,106.3
0.5,Jarrett Culver,20.34,196,88,0,2,38,100,32.5,25.1,0.542,5.6,17.3,11.8,26.1,2.7,2.2,13.7,32.2,0.222,11.6,12.2,26.4,2.3,7.7,7,10,2.6,9.1,11.6,6.8,2.7,1,4.9,3.5,33.7,108.7,86.7
3,Coby White,19.35,196,83,0,1,35,100,28.5,19.2,0.556,1.3,11.3,6.4,24.4,2,1.3,15.5,26.8,0.165,8,9.9,23.4,4.3,12.2,5.5,6.9,0.6,5.9,6.5,7.5,2,0.6,4.9,3.6,29.6,110.6,98.9
2,Jaxson Hayes,19.09,211,99,0,1,32,65.62,23.3,27,0.739,8.7,16.3,12.5,2.6,1.5,10.6,11.8,17.2,0.23,10.1,9.9,13.6,0,0,6,8.1,4.5,8.4,12.9,0.7,1.5,5.7,2.3,8.6,25.8,138.7,95.6
2.5,Rui Hachimura,21.37,203,104,0,3,37,100,30.2,28.6,0.639,5.9,16.9,12.1,9.1,1.7,2.4,10.7,28.1,0.264,9.4,13.7,23.2,0.7,1.8,8.2,11.1,2.6,9.4,12,2.8,1.7,1.3,3.4,3.7,36.4,124.9,91.6
2,Cam Reddish,19.81,203,98,0,1,36,97.22,29.7,13.6,0.499,2,10.7,6.5,10.7,2.9,1.9,16.5,25.3,0.113,4.5,7.9,22.1,4.5,13.6,4.5,5.8,1,5.8,6.8,3.6,2.9,1.1,4.9,4.4,24.8,97.9,95.1
3.25,Cameron Johnson,23.31,206,95,0,5,36,100,29.9,24.9,0.648,6.5,13.3,10,13.8,2.1,1.1,10.3,21.8,0.229,12.9,10.3,20.4,4.7,10.3,4.4,5.4,3.2,7,10.2,4.2,2.1,0.5,2.6,2.6,29.8,131.2,98.2
3,P.J. Washington,20.84,203,103,0,2,35,94.29,29.3,26,0.592,10,19.9,15.3,13.1,1.7,4.8,13.3,25.8,0.223,10.9,11,21.1,1.9,4.5,6.8,10.3,4.7,10.6,15.3,3.7,1.7,2.5,4,5,30.8,119.5,93.9
